KO	Replicate	Depth	Layer	Sample	Element	General.Process	Specific.Process	Gene.products..enzymes	Gene.clusters	KEGG_Homologs_per_Gene_Cluster	KEGG_Description	KEGG_Metabolism	CPM
K01602	9.4_B_3C	9.0	Top	9_Top	Carbon	Carbon Fixation	Calvin Cycle	Ribulose Bisphosphate Carboxylase Complex Subunits, Phophoribulokinase	rbc	3	rbcS; ribulose-bisphosphate carboxylase small chain [EC:4.1.1.39]	Carbon_Fixation_in_Photosynthetic_Organisms	7
K01602	9.4_A_3C	9.0	Top	9_Top	Carbon	Carbon Fixation	Calvin Cycle	Ribulose Bisphosphate Carboxylase Complex Subunits, Phophoribulokinase	rbc	3	rbcS; ribulose-bisphosphate carboxylase small chain [EC:4.1.1.39]	Carbon_Fixation_in_Photosynthetic_Organisms	4
K01648	9.4_A_3D	9.0	Top	9_Top	Carbon	Carbon Fixation	Reverse Citric Acid Cycle	ATP Citrate Lyase	acl	3	ACLY; ATP citrate (pro-S)-lyase [EC:2.3.3.8]	Carbon_Fixation_Pathways_in_Prokaryotes	0
K01648	9.4_B_3C_2	9.0	Top	9_Top	Carbon	Carbon Fixation	Reverse Citric Acid Cycle	ATP Citrate Lyase	acl	3	ACLY; ATP citrate (pro-S)-lyase [EC:2.3.3.8]	Carbon_Fixation_Pathways_in_Prokaryotes	0
K01648	9.4_A_3C	9.0	Top	9_Top	Carbon	Carbon Fixation	Reverse Citric Acid Cycle	ATP Citrate Lyase	acl	3	ACLY; ATP citrate (pro-S)-lyase [EC:2.3.3.8]	Carbon_Fixation_Pathways_in_Prokaryotes	0
K01648	9.4_C_3A	9.0	Top	9_Top	Carbon	Carbon Fixation	Reverse Citric Acid Cycle	ATP Citrate Lyase	acl	3	ACLY; ATP citrate (pro-S)-lyase [EC:2.3.3.8]	Carbon_Fixation_Pathways_in_Prokaryotes	0
K01648	9.4_C_3B	9.0	Top	9_Top	Carbon	Carbon Fixation	Reverse Citric Acid Cycle	ATP Citrate Lyase	acl	3	ACLY; ATP citrate (pro-S)-lyase [EC:2.3.3.8]	Carbon_Fixation_Pathways_in_Prokaryotes	0
K01648	9.4_B_3C	9.0	Top	9_Top	Carbon	Carbon Fixation	Reverse Citric Acid Cycle	ATP Citrate Lyase	acl	3	ACLY; ATP citrate (pro-S)-lyase [EC:2.3.3.8]	Carbon_Fixation_Pathways_in_Prokaryotes	0
K01648	9.4_B_3B	9.0	Top	9_Top	Carbon	Carbon Fixation	Reverse Citric Acid Cycle	ATP Citrate Lyase	acl	3	ACLY; ATP citrate (pro-S)-lyase [EC:2.3.3.8]	Carbon_Fixation_Pathways_in_Prokaryotes	0
K02092	9.4_B_3B	9.0	Top	9_Top	Carbon	Oxygenic Photosynthesis	Photopigment Biosynthesis	Enzymes of Chlorophyll, Phycobilin, and Carotenoid Pathways	apc	6	apcA; allophycocyanin alpha subunit	Photosynthesis-Antenna_Proteins	11
K02092	9.4_A_3C	9.0	Top	9_Top	Carbon	Oxygenic Photosynthesis	Photopigment Biosynthesis	Enzymes of Chlorophyll, Phycobilin, and Carotenoid Pathways	apc	6	apcA; allophycocyanin alpha subunit	Photosynthesis-Antenna_Proteins	14
K02092	9.4_A_3D	9.0	Top	9_Top	Carbon	Oxygenic Photosynthesis	Photopigment Biosynthesis	Enzymes of Chlorophyll, Phycobilin, and Carotenoid Pathways	apc	6	apcA; allophycocyanin alpha subunit	Photosynthesis-Antenna_Proteins	6
K02092	9.4_C_3A	9.0	Top	9_Top	Carbon	Oxygenic Photosynthesis	Photopigment Biosynthesis	Enzymes of Chlorophyll, Phycobilin, and Carotenoid Pathways	apc	6	apcA; allophycocyanin alpha subunit	Photosynthesis-Antenna_Proteins	25
K02092	9.4_B_3C_2	9.0	Top	9_Top	Carbon	Oxygenic Photosynthesis	Photopigment Biosynthesis	Enzymes of Chlorophyll, Phycobilin, and Carotenoid Pathways	apc	6	apcA; allophycocyanin alpha subunit	Photosynthesis-Antenna_Proteins	17
K02092	9.4_B_3C	9.0	Top	9_Top	Carbon	Oxygenic Photosynthesis	Photopigment Biosynthesis	Enzymes of Chlorophyll, Phycobilin, and Carotenoid Pathways	apc	6	apcA; allophycocyanin alpha subunit	Photosynthesis-Antenna_Proteins	16
K02092	9.4_C_3B	9.0	Top	9_Top	Carbon	Oxygenic Photosynthesis	Photopigment Biosynthesis	Enzymes of Chlorophyll, Phycobilin, and Carotenoid Pathways	apc	6	apcA; allophycocyanin alpha subunit	Photosynthesis-Antenna_Proteins	5
K02093	9.4_A_3D	9.0	Top	9_Top	Carbon	Oxygenic Photosynthesis	Photopigment Biosynthesis	Enzymes of Chlorophyll, Phycobilin, and Carotenoid Pathways	apc	6	apcB; allophycocyanin beta subunit	Photosynthesis-Antenna_Proteins	22
K02093	9.4_A_3C	9.0	Top	9_Top	Carbon	Oxygenic Photosynthesis	Photopigment Biosynthesis	Enzymes of Chlorophyll, Phycobilin, and Carotenoid Pathways	apc	6	apcB; allophycocyanin beta subunit	Photosynthesis-Antenna_Proteins	10
K02093	9.4_B_3B	9.0	Top	9_Top	Carbon	Oxygenic Photosynthesis	Photopigment Biosynthesis	Enzymes of Chlorophyll, Phycobilin, and Carotenoid Pathways	apc	6	apcB; allophycocyanin beta subunit	Photosynthesis-Antenna_Proteins	17
K02093	9.4_C_3B	9.0	Top	9_Top	Carbon	Oxygenic Photosynthesis	Photopigment Biosynthesis	Enzymes of Chlorophyll, Phycobilin, and Carotenoid Pathways	apc	6	apcB; allophycocyanin beta subunit	Photosynthesis-Antenna_Proteins	13
K02093	9.4_B_3C_2	9.0	Top	9_Top	Carbon	Oxygenic Photosynthesis	Photopigment Biosynthesis	Enzymes of Chlorophyll, Phycobilin, and Carotenoid Pathways	apc	6	apcB; allophycocyanin beta subunit	Photosynthesis-Antenna_Proteins	32
K02093	9.4_C_3A	9.0	Top	9_Top	Carbon	Oxygenic Photosynthesis	Photopigment Biosynthesis	Enzymes of Chlorophyll, Phycobilin, and Carotenoid Pathways	apc	6	apcB; allophycocyanin beta subunit	Photosynthesis-Antenna_Proteins	12
K02093	9.4_B_3C	9.0	Top	9_Top	Carbon	Oxygenic Photosynthesis	Photopigment Biosynthesis	Enzymes of Chlorophyll, Phycobilin, and Carotenoid Pathways	apc	6	apcB; allophycocyanin beta subunit	Photosynthesis-Antenna_Proteins	10
K02094	9.4_A_3C	9.0	Top	9_Top	Carbon	Oxygenic Photosynthesis	Photopigment Biosynthesis	Enzymes of Chlorophyll, Phycobilin, and Carotenoid Pathways	apc	6	apcC; phycobilisome core linker protein	Photosynthesis_Proteins	0
